Scenario #1:
27 254
27 277
27 298
27 312
27 316
27 324
27 335
27 338
27 341
27 404
27 408
27 455
27 501
27 507
27 513
27 515
28 18
28 100
28 108
28 137
28 169
28 171
28 201
28 231
28 232
28 280
28 291
28 306
28 318
28 333
28 345
28 360
28 368
28 382
28 386
28 396
28 401
28 429
28 447
28 482
29 14
29 48
29 103
29 118
29 138
29 221
29 230
29 236
29 252
29 262
29 264
29 268
29 311
29 315
29 332
29 390
29 394
29 418
29 431
29 439
29 452
29 463
29 464
29 474
29 521
29 540
30 4
30 8
30 9
30 39
30 58
30 78
30 85
30 86
30 122
30 164
30 196
30 225
30 242
30 247
30 256
30 258
30 285
30 320
30 329
30 371
30 425
30 450
30 471
30 486
30 503
30 539
31 5
31 43
31 81
31 102
31 180
31 220
31 279
31 330
31 343
31 451
31 490
31 502
31 506
32 79
32 365
32 446
32 509
33 34
33 44
33 192
33 375
33 436
Scenario #177:
1 1
1 20
1 45
1 120
1 296
1 317
1 394
1 436
1 463
2 18
2 148
2 262
2 272
2 274
2 314
2 350
2 372
2 405
2 417
3 50
3 87
3 231
3 250
3 309
3 415
3 464
4 36
4 103
4 145
4 323
4 367
4 393
4 403
4 446
4 469
4 487
4 489
5 17
5 26
5 40
5 57
5 130
5 191
5 206
5 225
5 278
6 101
6 229
6 258
6 276
6 279
6 385
6 419
7 15
7 19
7 42
7 82
7 126
7 169
7 310
7 348
7 391
7 445
7 486
8 11
8 39
8 66
8 68
8 69
8 122
8 168
8 196
8 202
8 208
8 209
8 216
8 224
8 242
8 299
8 301
8 304
8 412
8 418
8 453
8 457
8 467
9 117
9 147
9 159
9 174
9 189
9 197
9 215
9 233
9 267
9 290
9 298
9 315
9 326
9 336
9 378
9 387
9 397
9 421
9 439
9 475
9 481
9 494
10 67
10 99
10 105
10 109
10 114
10 121
10 140
10 144
10 188
10 190
10 205
10 228
10 235
10 277
10 294
10 351
10 357
10 360
10 366
10 380
10 410
10 423
10 502
11 75
11 149
11 152
11 156
11 161
11 164
11 214
11 253
11 306
11 327
11 339
11 361
11 365
11 377
11 395
11 396
11 404
11 420
11 425
11 429
11 432
11 476
12 0
12 10
12 35
12 51
12 60
12 146
12 176
12 183
12 192
12 220
12 245
12 246
12 264
12 282
12 291
12 325
12 330
12 333
12 342
12 346
12 371
12 388
12 392
12 413
12 449
12 496
13 7
13 33
13 38
13 73
13 76
13 77
13 84
13 85
13 86
13 167
13 201
13 211
13 212
13 283
13 293
13 307
13 381
13 402
13 411
13 416
13 422
13 454
13 455
13 492
14 5
14 12
14 28
14 31
14 81
14 88
14 98
14 125
14 131
14 136
14 151
14 172
14 178
14 179
14 182
14 219
14 236
14 239
14 249
14 269
14 295
14 318
14 337
14 374
14 382
14 406
14 438
14 472
15 89
15 100
15 118
15 129
15 157
15 163
15 170
15 195
15 199
15 207
15 238
15 270
15 285
15 303
15 311
15 319
15 343
15 349
15 358
15 373
15 383
15 407
15 431
15 447
15 451
15 470
15 478
15 488
15 500
16 3
16 8
16 13
16 16
16 27
16 30
16 32
16 34
16 46
16 72
16 106
16 133
16 138
16 194
16 218
16 237
16 248
16 257
16 273
16 288
16 292
16 320
16 338
16 353
16 401
16 408
16 414
16 477
16 485
17 9
17 53
17 55
17 62
17 90
17 91
17 97
17 113
17 115
17 119
17 143
17 153
17 160
17 187
17 204
17 222
17 230
17 240
17 241
17 251
17 261
17 331
17 332
17 335
17 345
17 347
17 355
17 356
17 359
17 363
17 379
17 384
17 426
17 448
17 456
17 461
17 465
17 468
17 479
17 490
17 497
18 4
18 6
18 14
18 29
18 41
18 48
18 54
18 83
18 96
18 123
18 135
18 141
18 165
18 173
18 175
18 180
18 181
18 186
18 198
18 217
18 223
18 243
18 247
18 254
18 286
18 313
18 322
18 354
18 364
18 376
18 390
18 433
18 440
18 443
18 466
18 493
19 43
19 44
19 52
19 61
19 63
19 70
19 71
19 80
19 94
19 116
19 127
19 142
19 150
19 162
19 177
19 200
19 203
19 234
19 255
19 265
19 271
19 287
19 300
19 312
19 329
19 341
19 362
19 375
19 400
19 409
19 427
19 444
19 459
19 460
19 483
20 2
20 104
20 128
20 137
20 155
20 166
20 184
20 256
20 260
20 263
20 275
20 316
20 324
20 344
20 369
20 386
20 430
20 434
20 452
20 462
21 21
21 23
21 24
21 25
21 56
21 58
21 65
21 92
21 108
21 134
21 210
21 252
21 259
21 268
21 284
21 302
21 305
21 398
21 399
21 442
21 484
21 499
22 37
22 79
22 95
22 102
22 107
22 110
22 185
22 227
22 280
22 281
22 289
22 321
22 328
22 352
22 368
22 389
22 435
22 471
22 473
22 474
23 59
23 64
23 74
23 132
23 154
23 171
23 221
23 244
23 334
23 424
23 428
23 437
23 441
23 458
23 491
23 498
24 22
24 49
24 78
24 112
24 124
24 193
24 226
24 297
24 370
24 480
24 495
24 501
25 93
25 111
25 139
25 232
25 482
26 47
26 158
26 213
26 266
26 340
27 308
27 450
Scenario #178:
1 117
1 153
2 17
2 28
2 210
2 309
2 363
3 90
3 231
3 264
3 306
3 376
3 464
3 520
3 570
3 576
3 586
3 599
3 640
4 5
4 97
4 137
4 149
4 161
4 186
4 263
4 302
4 311
4 330
4 407
4 411
4 418
4 504
4 507
4 518
4 564
4 681
5 39
5 75
5 121
5 172
5 213
5 218
5 265
5 281
5 480
5 481
5 484
5 488
5 508
5 521
5 572
5 661
5 667
6 34
6 65
6 107
6 150
6 175
6 219
6 260
6 278
6 340
6 346
6 382
6 392
6 408
6 428
6 432
6 439
6 451
6 503
6 522
6 528
6 544
6 580
6 611
7 4
7 35
7 38
7 42
7 81
7 113
7 144
7 223
7 225
7 252
7 256
7 276
7 284
7 315
7 328
7 333
7 337
7 341
7 359
7 417
7 444
7 447
7 535
7 591
7 634
7 669
7 671
8 36
8 98
8 101
8 104
8 151
8 181
8 183
8 251
8 291
8 297
8 307
8 310
8 354
8 377
8 400
8 421
8 453
8 457
8 502
8 519
8 526
8 553
8 557
8 565
8 574
8 575
8 594
8 645
8 653
9 43
9 94
9 129
9 141
9 191
9 209
9 285
9 294
9 322
9 342
9 374
9 409
9 420
9 497
9 527
9 561
9 578
9 589
10 40
10 56
10 88
10 112
10 125
10 199
10 220
10 235
10 271
10 356
10 361
10 375
10 394
10 396
10 397
10 433
10 472
10 523
10 584
10 590
10 625
10 650
10 675
10 680
11 7
11 10
11 14
11 108
11 143
11 146
11 165
11 178
11 179
11 188
11 202
11 217
11 226
11 280
11 286
11 385
11 431
11 449
11 468
11 479
11 538
11 596
11 607
11 633
11 646
12 0
12 6
12 224
12 352
12 380
12 430
12 440
12 441
12 498
12 512
12 513
12 601
12 604
12 638
12 641
13 13
13 15
13 46
13 53
13 57
13 77
13 79
13 145
13 168
13 174
13 195
13 233
13 259
13 295
13 326
13 355
13 373
13 443
13 456
13 499
13 500
13 629
13 670
14 20
14 52
14 55
14 73
14 82
14 99
14 103
14 123
14 130
14 152
14 177
14 185
14 192
14 211
14 222
14 234
14 243
14 267
14 274
14 325
14 347
14 357
14 365
14 369
14 381
14 426
14 458
14 460
14 466
14 475
14 517
14 537
14 550
14 562
14 593
14 600
14 665
14 673
15 21
15 31
15 64
15 66
15 67
15 78
15 83
15 119
15 126
15 136
15 190
15 262
15 312
15 316
15 332
15 371
15 390
15 395
15 422
15 442
15 459
15 490
15 560
15 573
15 581
15 619
15 636
15 660
16 19
16 93
16 102
16 116
16 124
16 134
16 140
16 227
16 236
16 244
16 313
16 345
16 387
16 388
16 427
16 448
16 452
16 501
16 510
16 514
16 555
16 602
16 605
16 612
16 628
17 12
17 92
17 166
17 169
17 205
17 208
17 237
17 254
17 288
17 289
17 296
17 368
17 378
17 450
17 474
17 496
17 552
17 577
17 587
17 595
17 676
18 87
18 100
18 133
18 196
18 250
18 266
18 320
18 324
18 362
18 366
18 415
18 434
18 454
18 493
18 516
18 546
18 549
18 583
18 588
18 622
18 644
18 649
19 24
19 25
19 26
19 33
19 61
19 68
19 70
19 71
19 76
19 105
19 106
19 207
19 215
19 253
19 290
19 292
19 301
19 334
19 358
19 386
19 389
19 399
19 406
19 438
19 455
19 461
19 476
19 478
19 491
19 529
19 540
19 542
19 551
19 566
19 620
19 630
19 632
19 635
19 637
19 652
20 8
20 47
20 59
20 74
20 86
20 96
20 111
20 120
20 135
20 184
20 197
20 200
20 212
20 216
20 230
20 232
20 246
20 299
20 303
20 318
20 323
20 327
20 348
20 349
20 379
20 384
20 401
20 405
20 410
20 412
20 435
20 436
20 486
20 492
20 548
20 579
20 610
20 616
20 643
20 656
20 663
21 11
21 29
21 32
21 45
21 49
21 60
21 62
21 89
21 109
21 139
21 154
21 155
21 156
21 163
21 164
21 204
21 240
21 242
21 248
21 269
21 272
21 287
21 308
21 321
21 335
21 339
21 351
21 364
21 463
21 467
21 477
21 482
21 483
21 485
21 531
21 536
21 543
21 559
21 568
21 571
21 582
21 597
21 606
21 608
21 614
21 621
21 623
21 626
21 642
21 657
21 662
21 664
21 668
22 18
22 41
22 48
22 51
22 63
22 122
22 158
22 171
22 198
22 257
22 270
22 273
22 298
22 304
22 314
22 329
22 353
22 423
22 446
22 469
22 470
22 511
22 545
22 556
22 569
22 585
22 603
22 627
22 639
22 647
22 651
22 655
22 674
22 677
22 678
23 2
23 9
23 16
23 58
23 72
23 84
23 114
23 132
23 148
23 193
23 241
23 249
23 300
23 360
23 402
23 403
23 424
23 425
23 533
23 541
23 558
23 609
23 618
23 631
23 666
23 672
24 1
24 3
24 27
24 80
24 115
24 157
24 160
24 180
24 189
24 214
24 228
24 245
24 255
24 277
24 293
24 305
24 338
24 344
24 383
24 419
24 471
24 506
24 515
24 524
24 525
24 532
24 613
24 617
24 648
25 50
25 95
25 118
25 147
25 182
25 187
25 238
25 239
25 247
25 261
25 268
25 275
25 319
25 343
25 350
25 370
25 391
25 414
25 416
25 429
25 437
25 473
25 487
25 494
25 495
25 563
25 598
25 654
25 658
25 659
25 679
26 22
26 37
26 44
26 54
26 131
26 138
26 159
26 167
26 173
26 201
26 206
26 279
26 282
26 283
26 317
26 336
26 372
26 393
26 404
26 413
26 445
26 462
26 489
26 509
26 530
26 592
27 23
27 69
27 91
27 127
27 128
27 142
27 203
27 221
27 229
27 258
27 367
27 505
27 539
27 554
27 615
27 624
28 30
28 85
28 331
28 534
28 547
29 110
29 162
29 176
29 465
29 567
30 170
31 194
31 398
Scenario #179:
1 158
1 614
2 200
2 300
2 366
2 383
2 399
2 435
2 456
2 469
2 615
2 693
2 730
2 738
2 747
2 767
3 90
3 275
3 343
3 726
3 732
3 884
3 887
3 891
4 30
4 54
4 100
4 207
4 247
4 313
4 443
4 478
4 748
4 830
4 890
5 61
5 66
5 73
5 134
5 137
5 146
5 155
5 378
5 396
5 442
5 452
5 464
5 502
5 507
5 544
5 626
5 694
5 749
5 807
5 811
5 888
6 14
6 26
6 101
6 139
6 167
6 244
6 293
6 372
6 424
6 511
6 520
6 527
6 558
6 740
6 779
6 782
6 883
6 889
7 71
7 78
7 85
7 117
7 138
7 182
7 225
7 235
7 276
7 460
7 465
7 475
7 509
7 591
7 669
8 52
8 60
8 68
8 113
8 172
8 279
8 321
8 329
8 341
8 355
8 360
8 370
8 440
8 492
8 504
8 724
8 789
9 20
9 86
9 87
9 104
9 143
9 181
9 187
9 206
9 259
9 266
9 531
9 537
9 565
9 648
9 803
9 816
10 55
10 91
10 130
10 132
10 226
10 231
10 254
10 282
10 284
10 376
10 409
10 422
10 458
10 474
10 489
10 638
10 695
10 743
10 746
10 808
10 847
10 859
10 862
10 878
11 0
11 7
11 9
11 29
11 53
11 88
11 93
11 94
11 95
11 133
11 239
11 246
11 274
11 338
11 369
11 385
11 425
11 559
11 561
11 570
11 583
11 604
11 630
11 671
11 753
11 763
11 805
11 879
12 24
12 45
12 62
12 84
12 124
12 131
12 190
12 203
12 224
12 290
12 303
12 333
12 340
12 362
12 601
12 624
12 639
12 662
12 663
12 667
12 689
12 702
12 705
12 775
12 829
13 63
13 74
13 80
13 92
13 175
13 184
13 221
13 227
13 327
13 361
13 363
13 387
13 499
13 524
13 526
13 577
13 587
13 592
13 650
13 652
13 700
13 714
13 780
13 837
14 21
14 33
14 40
14 69
14 76
14 79
14 170
14 186
14 269
14 277
14 411
14 418
14 433
14 434
14 441
14 496
14 497
14 522
14 566
14 602
14 605
14 608
14 637
14 688
14 713
14 728
14 737
14 769
14 839
14 848
14 858
14 865
15 46
15 58
15 65
15 128
15 151
15 162
15 188
15 192
15 195
15 196
15 209
15 212
15 218
15 229
15 238
15 252
15 298
15 304
15 305
15 314
15 364
15 377
15 394
15 398
15 423
15 444
15 494
15 543
15 573
15 590
15 600
15 611
15 613
15 634
15 661
15 691
15 701
15 723
15 774
15 777
15 784
15 843
16 3
16 34
16 39
16 148
16 165
16 168
16 198
16 234
16 242
16 312
16 317
16 322
16 382
16 403
16 476
16 523
16 530
16 534
16 549
16 594
16 609
16 645
16 687
16 707
16 712
16 744
16 745
16 752
16 785
16 792
16 794
16 801
16 814
16 822
16 831
16 838
16 842
17 38
17 75
17 103
17 163
17 237
17 240
17 241
17 251
17 257
17 271
17 301
17 358
17 410
17 421
17 428
17 491
17 493
17 515
17 553
17 563
17 618
17 640
17 697
17 731
17 771
17 806
17 823
17 827
17 836
17 881
17 886
18 6
18 31
18 67
18 96
18 116
18 121
18 140
18 169
18 220
18 286
18 331
18 332
18 359
18 445
18 463
18 482
18 560
18 585
18 632
18 635
18 673
18 715
18 736
18 757
18 787
18 804
18 813
18 815
18 828
18 835
18 866
18 873
19 25
19 42
19 43
19 49
19 77
19 106
19 110
19 119
19 135
19 145
19 156
19 174
19 208
19 288
19 297
19 335
19 336
19 339
19 368
19 384
19 397
19 426
19 446
19 473
19 480
19 488
19 536
19 548
19 552
19 567
19 572
19 580
19 595
19 607
19 641
19 646
19 656
19 683
19 741
19 755
19 762
19 768
19 773
19 795
19 798
19 800
19 824
19 841
19 851
19 869
19 880
19 885
20 17
20 23
20 32
20 37
20 47
20 102
20 115
20 126
20 147
20 157
20 176
20 180
20 183
20 194
20 222
20 228
20 232
20 233
20 256
20 273
20 294
20 307
20 316
20 328
20 344
20 346
20 351
20 416
20 454
20 455
20 467
20 484
20 487
20 512
20 513
20 514
20 542
20 555
20 593
20 603
20 616
20 619
20 664
20 666
20 677
20 690
20 764
20 776
20 788
20 791
20 812
20 821
20 826
20 863
20 876
21 11
21 18
21 27
21 125
21 153
21 154
21 177
21 179
21 193
21 202
21 204
21 213
21 216
21 250
21 260
21 263
21 278
21 315
21 330
21 356
21 375
21 381
21 395
21 412
21 449
21 459
21 466
21 471
21 498
21 500
21 503
21 516
21 518
21 521
21 529
21 540
21 541
21 571
21 584
21 588
21 623
21 627
21 629
21 653
21 655
21 678
21 692
21 704
21 709
21 710
21 718
21 721
21 727
21 760
21 761
21 765
21 844
21 857
21 861
21 864
22 1
22 8
22 12
22 15
22 16
22 41
22 70
22 97
22 107
22 111
22 129
22 142
22 144
22 159
22 191
22 199
22 217
22 223
22 245
22 248
22 258
22 264
22 289
22 296
22 309
22 348
22 379
22 389
22 400
22 401
22 417
22 439
22 450
22 451
22 453
22 457
22 461
22 468
22 545
22 562
22 599
22 610
22 621
22 622
22 625
22 642
22 651
22 657
22 670
22 674
22 676
22 684
22 708
22 742
22 758
22 783
22 790
22 833
22 845
22 850
22 882
23 50
23 57
23 123
23 160
23 166
23 173
23 185
23 210
23 214
23 249
23 270
23 302
23 337
23 347
23 352
23 367
23 371
23 374
23 388
23 391
23 404
23 408
23 419
23 438
23 462
23 481
23 483
23 495
23 517
23 525
23 528
23 533
23 538
23 539
23 547
23 554
23 564
23 568
23 569
23 582
23 586
23 596
23 612
23 633
23 644
23 659
23 660
23 675
23 696
23 699
23 703
23 717
23 739
23 750
23 751
23 766
23 772
23 786
23 793
23 797
23 834
23 856
23 870
24 10
24 19
24 22
24 72
24 89
24 98
24 109
24 120
24 122
24 127
24 150
24 152
24 161
24 178
24 197
24 201
24 230
24 255
24 262
24 265
24 280
24 283
24 291
24 292
24 295
24 308
24 311
24 320
24 334
24 345
24 350
24 353
24 354
24 380
24 386
24 392
24 402
24 405
24 406
24 407
24 472
24 479
24 506
24 519
24 546
24 556
24 557
24 575
24 578
24 617
24 620
24 649
24 654
24 668
24 679
24 682
24 685
24 698
24 711
24 734
24 754
24 759
24 770
24 778
24 781
24 799
24 809
24 817
24 855
24 871
24 872
25 28
25 35
25 99
25 108
25 112
25 136
25 171
25 189
25 243
25 267
25 281
25 287
25 306
25 325
25 357
25 373
25 393
25 413
25 420
25 427
25 429
25 431
25 437
25 448
25 470
25 477
25 485
25 490
25 501
25 510
25 535
25 589
25 597
25 598
25 631
25 647
25 665
25 672
25 686
25 706
25 719
25 729
25 818
25 819
25 832
25 840
25 854
25 875
25 877
26 2
26 4
26 5
26 13
26 48
26 64
26 81
26 105
26 114
26 141
26 211
26 215
26 236
26 268
26 285
26 310
26 319
26 323
26 324
26 342
26 414
26 430
26 432
26 436
26 447
26 486
26 532
26 551
26 576
26 581
26 606
26 722
26 725
26 735
26 849
26 852
27 36
27 44
27 51
27 59
27 82
27 83
27 118
27 149
27 164
27 205
27 253
27 261
27 318
27 365
27 508
27 550
27 579
27 658
27 681
27 716
27 756
27 796
27 810
27 846
27 860
27 867
27 868
27 874
28 56
28 219
28 272
28 326
28 349
28 390
28 505
28 574
28 628
28 636
28 680
28 733
28 802
28 820
28 825
29 299
29 415
29 643
29 720
29 853
Scenario #180:
1 189
1 199
1 231
1 235
1 355
1 454
1 490
2 252
2 286
2 307
2 365
2 372
2 465
2 518
2 526
2 551
2 558
2 611
2 692
2 709
3 48
3 119
3 122
3 179
3 190
3 279
3 359
3 380
3 457
3 521
3 606
3 625
3 693
3 696
3 698
4 12
4 16
4 19
4 101
4 102
4 143
4 258
4 294
4 336
4 350
4 362
4 453
4 536
4 588
4 647
4 735
5 23
5 32
5 71
5 99
5 196
5 263
5 272
5 310
5 320
5 330
5 342
5 346
5 440
5 462
5 498
5 533
5 549
5 585
5 638
5 700
5 705
5 727
6 31
6 58
6 171
6 195
6 295
6 305
6 340
6 370
6 384
6 400
6 461
6 530
6 534
6 610
6 615
6 620
7 64
7 65
7 130
7 205
7 273
7 288
7 399
7 403
7 433
7 510
7 542
7 568
7 571
7 636
7 640
8 0
8 39
8 53
8 86
8 104
8 126
8 153
8 160
8 162
8 193
8 194
8 237
8 243
8 302
8 322
8 333
8 367
8 375
8 426
8 444
8 450
8 463
8 528
8 560
8 565
9 13
9 87
9 173
9 186
9 188
9 256
9 269
9 292
9 308
9 315
9 334
9 343
9 352
9 364
9 413
9 448
9 483
9 566
9 581
9 587
9 594
9 598
9 614
9 667
9 674
9 681
10 38
10 45
10 60
10 80
10 133
10 198
10 233
10 244
10 255
10 299
10 318
10 339
10 405
10 458
10 459
10 508
10 517
10 538
10 546
10 562
10 569
10 630
10 635
10 659
10 683
10 687
10 714
10 723
11 37
11 55
11 56
11 59
11 61
11 88
11 95
11 106
11 144
11 174
11 212
11 217
11 270
11 404
11 408
11 415
11 423
11 425
11 455
11 491
11 503
11 529
11 531
11 545
11 628
11 644
11 702
11 713
11 729
12 3
12 22
12 42
12 47
12 67
12 116
12 125
12 152
12 155
12 184
12 210
12 211
12 312
12 314
12 326
12 368
12 388
12 394
12 396
12 435
12 472
12 475
12 502
12 504
12 519
12 556
12 573
12 593
12 637
12 639
12 645
12 707
12 710
12 720
13 2
13 29
13 44
13 69
13 112
13 138
13 156
13 161
13 168
13 177
13 187
13 200
13 204
13 207
13 215
13 219
13 223
13 227
13 232
13 254
13 283
13 293
13 311
13 347
13 395
13 398
13 437
13 446
13 456
13 460
13 479
13 482
13 501
13 509
13 543
13 584
13 609
13 621
13 634
13 650
13 651
13 665
13 676
13 677
13 690
13 712
13 733
13 734
14 4
14 8
14 10
14 40
14 115
14 117
14 147
14 157
14 159
14 167
14 169
14 241
14 259
14 275
14 284
14 296
14 303
14 306
14 321
14 325
14 354
14 379
14 432
14 442
14 443
14 481
14 516
14 520
14 527
14 550
14 570
14 583
14 590
14 596
14 613
14 685
14 686
14 689
14 699
14 711
15 26
15 49
15 79
15 108
15 127
15 149
15 175
15 180
15 185
15 257
15 261
15 285
15 289
15 301
15 332
15 335
15 351
15 357
15 378
15 381
15 401
15 414
15 445
15 464
15 499
15 544
15 553
15 555
15 572
15 582
15 601
15 649
15 670
15 721
15 724
15 736
16 6
16 11
16 15
16 20
16 24
16 35
16 43
16 54
16 75
16 105
16 129
16 151
16 266
16 281
16 291
16 324
16 349
16 422
16 449
16 468
16 471
16 474
16 495
16 496
16 506
16 511
16 512
16 575
16 604
16 629
16 633
16 656
16 680
16 688
16 703
17 18
17 25
17 82
17 98
17 118
17 124
17 145
17 146
17 170
17 176
17 181
17 242
17 276
17 277
17 300
17 323
17 329
17 361
17 382
17 385
17 389
17 392
17 397
17 402
17 411
17 417
17 418
17 421
17 438
17 452
17 500
17 505
17 574
17 599
17 603
17 631
17 672
17 673
17 675
18 85
18 110
18 113
18 121
18 158
18 166
18 172
18 183
18 201
18 218
18 220
18 222
18 230
18 239
18 246
18 260
18 264
18 265
18 267
18 268
18 274
18 345
18 390
18 441
18 451
18 466
18 473
18 480
18 497
18 532
18 557
18 559
18 561
18 567
18 591
18 600
18 605
18 616
18 641
18 643
18 652
18 691
18 695
18 697
18 701
18 704
18 708
18 717
18 728
19 7
19 9
19 14
19 50
19 63
19 66
19 72
19 74
19 90
19 93
19 114
19 128
19 134
19 137
19 140
19 142
19 165
19 203
19 221
19 234
19 271
19 313
19 317
19 331
19 373
19 377
19 407
19 409
19 412
19 420
19 424
19 476
19 492
19 514
19 524
19 537
19 539
19 580
19 586
19 597
19 655
19 669
19 719
20 28
20 33
20 34
20 46
20 77
20 78
20 91
20 109
20 120
20 132
20 141
20 163
20 197
20 202
20 208
20 225
20 226
20 238
20 247
20 249
20 251
20 278
20 304
20 337
20 338
20 344
20 356
20 376
20 386
20 410
20 429
20 436
20 439
20 467
20 469
20 487
20 522
20 548
20 602
20 608
20 622
20 642
20 668
20 716
20 718
20 722
21 36
21 62
21 70
21 76
21 84
21 103
21 107
21 111
21 136
21 148
21 178
21 206
21 214
21 228
21 262
21 298
21 328
21 353
21 363
21 369
21 374
21 387
21 391
21 393
21 427
21 434
21 447
21 470
21 478
21 493
21 525
21 552
21 554
21 578
21 627
21 657
21 678
21 679
21 694
22 17
22 30
22 41
22 52
22 73
22 96
22 213
22 245
22 250
22 282
22 297
22 309
22 316
22 348
22 366
22 383
22 416
22 419
22 489
22 535
22 576
22 589
22 595
22 607
22 623
22 664
22 671
22 682
22 725
22 726
22 730
22 732
23 5
23 27
23 51
23 83
23 89
23 92
23 94
23 135
23 224
23 240
23 248
23 360
23 406
23 428
23 430
23 431
23 477
23 488
23 494
23 632
23 648
23 661
23 666
23 715
24 57
24 81
24 123
24 139
24 164
24 209
24 236
24 287
24 486
24 507
24 541
24 564
24 577
24 579
24 592
24 624
24 731
25 1
25 21
25 97
25 131
25 154
25 229
25 253
25 290
25 327
25 371
25 485
25 513
25 523
25 612
25 646
25 658
25 662
25 706
26 68
26 182
26 191
26 280
26 484
26 540
26 547
26 563
26 618
26 660
26 663
27 150
27 192
27 216
27 341
27 358
27 617
27 653
27 654
27 684
28 100
28 319
28 515
28 619
28 626
Scenario #181:
1 0
1 141
2 14
2 68
2 93
2 151
3 20
3 22
4 17
4 197
5 56
5 59
5 69
6 39
6 58
6 160
6 177
6 187
7 32
7 37
7 120
7 127
7 131
8 67
8 86
8 172
9 16
9 72
9 116
9 124
9 144
10 50
10 65
10 171
10 195
11 6
11 18
11 26
11 146
12 31
12 60
12 87
12 96
12 105
12 110
12 161
13 1
13 36
13 64
13 73
13 82
13 109
13 167
13 196
14 7
14 13
14 19
14 21
14 62
14 71
14 119
14 153
14 166
15 3
15 52
15 83
15 85
15 152
15 155
15 162
15 175
15 182
15 192
16 23
16 63
16 70
16 76
16 78
16 106
16 138
16 142
16 147
16 168
16 193
17 8
17 15
17 28
17 46
17 57
17 80
17 98
17 107
17 113
17 130
17 145
17 156
17 163
17 170
17 184
18 2
18 9
18 11
18 41
18 61
18 66
18 108
18 117
18 148
18 150
18 159
18 179
19 25
19 30
19 34
19 44
19 89
19 95
19 102
19 111
19 114
19 115
19 118
19 129
19 136
19 154
19 157
19 173
19 191
20 42
20 43
20 47
20 48
20 79
20 90
20 94
20 100
20 104
20 112
20 125
20 128
20 133
20 134
20 137
20 158
20 164
20 165
20 183
21 12
21 49
21 54
21 55
21 74
21 77
21 84
21 92
21 97
21 99
21 103
21 176
21 178
22 4
22 29
22 35
22 38
22 40
22 45
22 123
22 135
22 139
22 181
22 194
23 27
23 51
23 88
23 101
23 122
23 132
23 185
23 186
23 189
23 190
24 10
24 33
24 53
24 81
24 149
24 169
24 174
24 180
25 126
25 140
25 143
25 188
26 5
26 75
26 91
27 121
28 24
Scenario #182:
1 56
1 61
1 108
1 349
2 39
2 76
2 141
2 215
2 249
2 278
3 2
3 21
3 91
3 109
3 155
3 192
3 207
3 219
3 257
4 4
4 113
4 126
4 165
4 239
5 125
5 163
5 166
5 178
5 214
5 263
5 279
5 360
6 14
6 97
6 196
6 237
6 242
6 332
6 357
7 55
7 75
7 88
7 129
7 143
7 160
7 210
7 217
7 268
7 316
7 333
8 6
8 15
8 19
8 77
8 151
8 198
8 240
9 7
9 11
9 28
9 87
9 131
9 134
9 135
9 136
9 221
9 290
10 10
10 32
10 62
10 68
10 72
10 122
10 128
10 177
10 183
10 203
10 218
10 226
10 241
10 295
10 314
10 336
11 36
11 40
11 49
11 93
11 96
11 105
11 111
11 130
11 133
11 168
11 179
11 205
11 212
11 244
11 265
11 277
11 283
11 285
11 343
11 351
12 37
12 54
12 81
12 82
12 83
12 137
12 182
12 233
12 246
12 281
12 294
12 296
12 302
12 320
12 354
12 362
12 367
13 12
13 31
13 71
13 86
13 123
13 170
13 174
13 184
13 227
13 247
13 251
13 260
13 275
13 293
13 305
13 328
13 331
13 358
13 365
14 8
14 24
14 69
14 99
14 121
14 180
14 181
14 229
14 292
14 308
14 318
14 344
14 348
14 368
15 0
15 64
15 67
15 148
15 152
15 175
15 230
15 262
15 301
15 329
15 359
16 70
16 84
16 89
16 116
16 120
16 142
16 186
16 231
16 261
16 272
16 287
16 291
16 321
16 338
16 341
16 342
16 346
17 20
17 25
17 43
17 60
17 74
17 95
17 102
17 145
17 149
17 158
17 191
17 266
17 289
17 304
17 310
17 363
18 9
18 16
18 34
18 35
18 45
18 65
18 92
18 100
18 101
18 171
18 206
18 213
18 228
18 250
18 273
18 307
18 324
18 337
18 339
19 48
19 52
19 57
19 59
19 94
19 103
19 107
19 112
19 115
19 138
19 153
19 172
19 173
19 190
19 194
19 204
19 209
19 211
19 216
19 245
19 258
19 264
19 286
19 312
20 18
20 26
20 58
20 80
20 114
20 127
20 144
20 150
20 159
20 164
20 195
20 208
20 234
20 236
20 238
20 254
20 299
20 300
20 303
20 311
20 327
20 330
21 3
21 17
21 27
21 29
21 30
21 46
21 47
21 50
21 66
21 117
21 132
21 154
21 161
21 167
21 169
21 187
21 200
21 225
21 235
21 280
21 282
21 306
21 313
21 315
21 319
21 323
21 356
21 361
22 22
22 23
22 38
22 51
22 53
22 106
22 118
22 147
22 162
22 176
22 185
22 188
22 197
22 243
22 259
22 276
22 334
22 335
22 347
22 350
22 353
22 366
23 1
23 42
23 78
23 98
23 104
23 119
23 140
23 193
23 199
23 201
23 202
23 220
23 222
23 224
23 232
23 269
23 284
23 288
23 297
23 322
23 340
23 352
24 5
24 41
24 44
24 73
24 79
24 90
24 110
24 124
24 139
24 156
24 157
24 248
24 252
24 253
24 267
24 271
24 274
24 298
24 309
24 317
24 325
25 13
25 33
25 63
25 146
25 223
